method,age_group,mape_d1_5,mape_d1_10,mape_d1_16,mape_d6_end,settle5,settle10,maxrelerr_d1_16
renewal,0-5,175.437,82.511,49.692,1.889,52,8,446.122
renewal,6-11,109.807,51.797,31.680,2.876,55,48,282.798
renewal,12-17,145.202,67.942,40.913,1.616,51,7,372.495
renewal,18-44,167.324,78.450,47.197,1.277,9,7,427.593
renewal,45-64,194.899,91.420,54.913,1.165,9,8,496.915
renewal,65+,269.577,127.059,76.399,1.470,9,8,682.717
renewal,all,177.041,83.197,50.132,1.716,30.8,14.3,451.440
PS,0-5,4.990,3.403,2.681,1.351,6,1,6.662
PS,6-11,10.382,6.592,4.591,1.600,37,5,19.451
PS,12-17,4.718,3.472,2.747,1.222,6,1,6.534
PS,18-44,8.727,5.548,4.077,1.225,7,4,10.089
PS,45-64,9.749,6.000,4.384,1.077,6,4,11.032
PS,65+,9.888,5.987,4.342,0.976,6,4,11.611
PS,all,8.076,5.167,3.804,1.242,11.3,3.2,10.896
