method,convention,age_group,mape,rmse,bias,lag,lag_cont
renewal,full,0-5,6.5799,0.53123,0.08515,6,5.684
renewal,full,6-11,5.7659,0.58140,0.11121,5,4.621
renewal,full,12-17,5.4963,0.47704,0.07658,5,5.389
renewal,full,18-44,5.7648,0.27203,0.03699,6,6.136
renewal,full,45-64,6.4013,0.25879,0.03115,6,6.411
renewal,full,65+,8.7162,0.29016,0.03346,7,7.164
renewal,full,all,6.4541,0.40177,0.06242,5.83,5.901
renewal,warmup5,0-5,1.8894,0.03931,0.02147,3,2.845
renewal,warmup5,6-11,2.8759,0.07696,0.04317,3,2.979
renewal,warmup5,12-17,1.6156,0.03568,0.01978,3,2.560
renewal,warmup5,18-44,1.2770,0.01643,0.00428,2,2.435
renewal,warmup5,45-64,1.1653,0.01484,-0.00014,2,2.374
renewal,warmup5,65+,1.4700,0.01740,-0.00184,3,3.195
renewal,warmup5,all,1.7155,0.03344,0.01445,2.67,2.731
PS,full,0-5,1.4727,0.02237,-0.01099,-2,-1.655
PS,full,6-11,1.8944,0.06014,-0.01724,-1,-1.284
PS,full,12-17,1.3393,0.02344,-0.01172,-1,-1.487
PS,full,18-44,1.4769,0.01560,-0.00574,-3,-2.518
PS,full,45-64,1.3682,0.01350,-0.00464,-2,-1.625
PS,full,65+,1.2749,0.01100,-0.00367,3,2.842
PS,full,all,1.4711,0.02434,-0.00900,-1.00,-0.954
PS,warmup5,0-5,1.3506,0.01832,-0.01373,-1,-1.450
PS,warmup5,6-11,1.5997,0.03514,-0.01865,-1,-1.284
PS,warmup5,12-17,1.2220,0.01943,-0.01368,-1,-1.366
PS,warmup5,18-44,1.2251,0.01041,-0.00815,-1,-1.483
PS,warmup5,45-64,1.0772,0.00833,-0.00682,1,0.685
PS,warmup5,65+,0.9759,0.00658,-0.00546,1,1.216
PS,warmup5,all,1.2418,0.01637,-0.01108,-0.33,-0.614
