day,date,wk,age_group,cases,Rj_med,Rj_lo,Rj_hi
1,2018-09-02,36,0-5,11.8571,1.5038,1.2055,1.8665
1,2018-09-02,36,6-11,20.0000,1.8345,1.5028,2.2334
1,2018-09-02,36,12-17,7.1429,1.7511,1.4452,2.0995
1,2018-09-02,36,18-44,26.7143,1.0060,0.8250,1.2108
1,2018-09-02,36,45-64,18.1429,1.0245,0.8357,1.2443
1,2018-09-02,36,65+,10.2857,1.1054,0.8855,1.3751
2,2018-09-03,36,0-5,12.7143,1.5018,1.2458,1.8145
2,2018-09-03,36,6-11,22.2857,1.8952,1.5916,2.2272
2,2018-09-03,36,12-17,8.4286,1.8243,1.5425,2.2123
2,2018-09-03,36,18-44,26.7143,0.9848,0.8401,1.1473
2,2018-09-03,36,45-64,18.1429,1.0013,0.8479,1.1767
2,2018-09-03,36,65+,11.0000,1.0860,0.8988,1.3158
3,2018-09-04,36,0-5,13.1429,1.4876,1.2490,1.7725
3,2018-09-04,36,6-11,21.8571,1.9139,1.6406,2.2290
3,2018-09-04,36,12-17,9.8571,1.8863,1.5980,2.2063
3,2018-09-04,36,18-44,28.2857,0.9611,0.8324,1.1057
3,2018-09-04,36,45-64,19.5714,0.9787,0.8422,1.1336
3,2018-09-04,36,65+,12.0000,1.0661,0.8970,1.2677
4,2018-09-05,36,0-5,13.8571,1.4511,1.2292,1.7194
4,2018-09-05,36,6-11,21.5714,1.9069,1.6426,2.2262
4,2018-09-05,36,12-17,11.5714,1.8888,1.6057,2.2266
4,2018-09-05,36,18-44,31.1429,0.9272,0.8110,1.0611
4,2018-09-05,36,45-64,19.2857,0.9450,0.8200,1.0889
4,2018-09-05,36,65+,12.7143,1.0336,0.8779,1.2175
5,2018-09-06,36,0-5,13.8571,1.3990,1.1896,1.6542
5,2018-09-06,36,6-11,20.5714,1.8802,1.6230,2.1993
5,2018-09-06,36,12-17,12.1429,1.8438,1.5685,2.1840
5,2018-09-06,36,18-44,31.5714,0.8895,0.7804,1.0152
5,2018-09-06,36,45-64,19.8571,0.9057,0.7907,1.0405
5,2018-09-06,36,65+,12.5714,0.9952,0.8486,1.1622
6,2018-09-07,36,0-5,15.8571,1.3424,1.1361,1.5940
6,2018-09-07,36,6-11,24.5714,1.8347,1.5786,2.1310
6,2018-09-07,36,12-17,15.0000,1.7619,1.4975,2.0590
6,2018-09-07,36,18-44,31.7143,0.8482,0.7446,0.9687
6,2018-09-07,36,45-64,21.5714,0.8622,0.7530,0.9857
6,2018-09-07,36,65+,14.2857,0.9484,0.8118,1.1141
7,2018-09-08,36,0-5,15.8571,1.2820,1.0889,1.5163
7,2018-09-08,36,6-11,27.2857,1.7639,1.5189,2.0654
7,2018-09-08,36,12-17,17.0000,1.6355,1.4023,1.9276
7,2018-09-08,36,18-44,32.2857,0.8015,0.7049,0.9126
7,2018-09-08,36,45-64,23.1429,0.8093,0.7062,0.9237
7,2018-09-08,36,65+,16.0000,0.8920,0.7624,1.0434
8,2018-09-09,37,0-5,16.2857,1.2327,1.0388,1.4595
8,2018-09-09,37,6-11,30.0000,1.6909,1.4471,1.9763
8,2018-09-09,37,12-17,19.8571,1.5131,1.2943,1.7804
8,2018-09-09,37,18-44,34.5714,0.7582,0.6658,0.8669
8,2018-09-09,37,45-64,23.8571,0.7602,0.6640,0.8734
8,2018-09-09,37,65+,16.7143,0.8376,0.7162,0.9813
9,2018-09-10,37,0-5,15.5714,1.1894,1.0037,1.4022
9,2018-09-10,37,6-11,29.8571,1.6246,1.3961,1.9058
9,2018-09-10,37,12-17,19.8571,1.3975,1.1947,1.6374
9,2018-09-10,37,18-44,38.1429,0.7190,0.6320,0.8209
9,2018-09-10,37,45-64,24.4286,0.7162,0.6259,0.8193
9,2018-09-10,37,65+,16.7143,0.7889,0.6740,0.9234
10,2018-09-11,37,0-5,14.1429,1.1747,0.9903,1.3891
10,2018-09-11,37,6-11,31.1429,1.5860,1.3533,1.8493
10,2018-09-11,37,12-17,20.0000,1.3119,1.1257,1.5358
10,2018-09-11,37,18-44,38.8571,0.6946,0.6099,0.7884
10,2018-09-11,37,45-64,24.0000,0.6862,0.5995,0.7853
10,2018-09-11,37,65+,16.0000,0.7557,0.6435,0.8887
11,2018-09-12,37,0-5,14.8571,1.1743,0.9955,1.3941
11,2018-09-12,37,6-11,32.7143,1.5519,1.3319,1.8163
11,2018-09-12,37,12-17,19.8571,1.2556,1.0782,1.4766
11,2018-09-12,37,18-44,37.4286,0.6826,0.5998,0.7759
11,2018-09-12,37,45-64,24.5714,0.6701,0.5845,0.7677
11,2018-09-12,37,65+,16.1429,0.7328,0.6260,0.8595
12,2018-09-13,37,0-5,15.2857,1.1845,0.9986,1.3995
12,2018-09-13,37,6-11,33.2857,1.5304,1.3119,1.7859
12,2018-09-13,37,12-17,20.1429,1.2165,1.0418,1.4231
12,2018-09-13,37,18-44,37.2857,0.6774,0.5942,0.7690
12,2018-09-13,37,45-64,24.5714,0.6625,0.5794,0.7578
