day,date,wk,age_group,cases,Rj_med,Rj_lo,Rj_hi
1,2018-09-02,36,0-5,11.8571,0.9681,0.7888,1.1779
1,2018-09-02,36,6-11,20.0000,1.4857,1.2341,1.7899
1,2018-09-02,36,12-17,7.1429,1.8699,1.5548,2.2333
1,2018-09-02,36,18-44,26.7143,1.4402,1.1906,1.7308
1,2018-09-02,36,45-64,18.1429,1.3501,1.1204,1.6237
1,2018-09-02,36,65+,10.2857,0.9899,0.7916,1.2345
2,2018-09-03,36,0-5,12.7143,0.9255,0.7761,1.1007
2,2018-09-03,36,6-11,22.2857,1.4701,1.2414,1.7442
2,2018-09-03,36,12-17,8.4286,1.8766,1.5875,2.2102
2,2018-09-03,36,18-44,26.7143,1.4128,1.1978,1.6654
2,2018-09-03,36,45-64,18.1429,1.3199,1.1189,1.5545
2,2018-09-03,36,65+,11.0000,0.9473,0.7727,1.1615
3,2018-09-04,36,0-5,13.1429,0.8855,0.7535,1.0397
3,2018-09-04,36,6-11,21.8571,1.4451,1.2346,1.6842
3,2018-09-04,36,12-17,9.8571,1.8575,1.5916,2.1656
3,2018-09-04,36,18-44,28.2857,1.3746,1.1773,1.5986
3,2018-09-04,36,45-64,19.5714,1.2811,1.1007,1.4864
3,2018-09-04,36,65+,12.0000,0.9045,0.7488,1.0902
4,2018-09-05,36,0-5,13.8571,0.8427,0.7248,0.9828
4,2018-09-05,36,6-11,21.5714,1.4034,1.2094,1.6285
4,2018-09-05,36,12-17,11.5714,1.8165,1.5678,2.0946
4,2018-09-05,36,18-44,31.1429,1.3246,1.1428,1.5379
4,2018-09-05,36,45-64,19.2857,1.2339,1.0684,1.4259
4,2018-09-05,36,65+,12.7143,0.8620,0.7205,1.0370
5,2018-09-06,36,0-5,13.8571,0.8025,0.6935,0.9298
5,2018-09-06,36,6-11,20.5714,1.3568,1.1718,1.5748
5,2018-09-06,36,12-17,12.1429,1.7589,1.5244,2.0337
5,2018-09-06,36,18-44,31.5714,1.2722,1.1033,1.4696
5,2018-09-06,36,45-64,19.8571,1.1850,1.0308,1.3602
5,2018-09-06,36,65+,12.5714,0.8193,0.6905,0.9800
6,2018-09-07,36,0-5,15.8571,0.7628,0.6581,0.8795
6,2018-09-07,36,6-11,24.5714,1.3038,1.1253,1.5113
6,2018-09-07,36,12-17,15.0000,1.6884,1.4647,1.9413
6,2018-09-07,36,18-44,31.7143,1.2187,1.0560,1.4049
6,2018-09-07,36,45-64,21.5714,1.1351,0.9888,1.3029
6,2018-09-07,36,65+,14.2857,0.7822,0.6588,0.9337
7,2018-09-08,36,0-5,15.8571,0.7248,0.6279,0.8379
7,2018-09-08,36,6-11,27.2857,1.2484,1.0748,1.4513
7,2018-09-08,36,12-17,17.0000,1.6081,1.3955,1.8558
7,2018-09-08,36,18-44,32.2857,1.1635,1.0060,1.3433
7,2018-09-08,36,45-64,23.1429,1.0828,0.9399,1.2451
7,2018-09-08,36,65+,16.0000,0.7406,0.6240,0.8880
8,2018-09-09,37,0-5,16.2857,0.6931,0.6000,0.8006
8,2018-09-09,37,6-11,30.0000,1.1960,1.0304,1.3977
8,2018-09-09,37,12-17,19.8571,1.5278,1.3222,1.7660
8,2018-09-09,37,18-44,34.5714,1.1112,0.9605,1.2892
8,2018-09-09,37,45-64,23.8571,1.0348,0.8974,1.1926
8,2018-09-09,37,65+,16.7143,0.7046,0.5937,0.8424
9,2018-09-10,37,0-5,15.5714,0.6679,0.5794,0.7726
9,2018-09-10,37,6-11,29.8571,1.1520,0.9875,1.3474
9,2018-09-10,37,12-17,19.8571,1.4571,1.2603,1.6807
9,2018-09-10,37,18-44,38.1429,1.0677,0.9235,1.2396
9,2018-09-10,37,45-64,24.4286,0.9940,0.8627,1.1447
9,2018-09-10,37,65+,16.7143,0.6721,0.5667,0.8049
10,2018-09-11,37,0-5,14.1429,0.6528,0.5659,0.7516
10,2018-09-11,37,6-11,31.1429,1.1200,0.9653,1.2972
10,2018-09-11,37,12-17,20.0000,1.3995,1.2170,1.6113
10,2018-09-11,37,18-44,38.8571,1.0368,0.8973,1.2013
10,2018-09-11,37,45-64,24.0000,0.9638,0.8364,1.1107
10,2018-09-11,37,65+,16.0000,0.6478,0.5461,0.7745
11,2018-09-12,37,0-5,14.8571,0.6431,0.5572,0.7424
11,2018-09-12,37,6-11,32.7143,1.0952,0.9435,1.2723
11,2018-09-12,37,12-17,19.8571,1.3540,1.1772,1.5548
11,2018-09-12,37,18-44,37.4286,1.0163,0.8767,1.1745
11,2018-09-12,37,45-64,24.5714,0.9432,0.8187,1.0874
11,2018-09-12,37,65+,16.1429,0.6301,0.5295,0.7519
12,2018-09-13,37,0-5,15.2857,0.6393,0.5526,0.7397
12,2018-09-13,37,6-11,33.2857,1.0784,0.9270,1.2556
12,2018-09-13,37,12-17,20.1429,1.3194,1.1451,1.5207
12,2018-09-13,37,18-44,37.2857,1.0023,0.8657,1.1666
12,2018-09-13,37,45-64,24.5714,0.9309,0.8064,1.0754
12,2018-09-13,37,65+,16.1429,0.6178,0.5213,0.7393
13,2018-09-14,37,0-5,15.4286,0.6371,0.5517,0.7379
13,2018-09-14,37,6-11,36.0000,1.0648,0.9168,1.2381
13,2018-09-14,37,12-17,18.7143,1.2976,1.1256,1.4892
13,2018-09-14,37,18-44,38.1429,0.9963,0.8613,1.1516
13,2018-09-14,37,45-64,23.8571,0.9253,0.8036,1.0660
13,2018-09-14,37,65+,14.1429,0.6123,0.5159,0.7334
14,2018-09-15,37,0-5,16.4286,0.6357,0.5475,0.7377
14,2018-09-15,37,6-11,35.8571,1.0533,0.9049,1.2248
14,2018-09-15,37,12-17,17.2857,1.2786,1.1089,1.4700
14,2018-09-15,37,18-44,41.2857,0.9913,0.8524,1.1447
14,2018-09-15,37,45-64,24.0000,0.9217,0.7972,1.0634
14,2018-09-15,37,65+,13.5714,0.6076,0.5122,0.7249
15,2018-09-16,38,0-5,17.7143,0.6275,0.5401,0.7290
15,2018-09-16,38,6-11,36.4286,1.0326,0.8872,1.2064
15,2018-09-16,38,12-17,15.8571,1.2545,1.0890,1.4442
15,2018-09-16,38,18-44,41.7143,0.9788,0.8449,1.1379
15,2018-09-16,38,45-64,24.4286,0.9134,0.7898,1.0562
15,2018-09-16,38,65+,15.1429,0.5996,0.5045,0.7127
16,2018-09-17,38,0-5,18.7143,0.6170,0.5325,0.7196
16,2018-09-17,38,6-11,36.1429,1.0113,0.8674,1.1825
16,2018-09-17,38,12-17,15.7143,1.2319,1.0678,1.4202
16,2018-09-17,38,18-44,40.2857,0.9658,0.8332,1.1248
16,2018-09-17,38,45-64,25.8571,0.9020,0.7790,1.0457
16,2018-09-17,38,65+,15.5714,0.5914,0.4954,0.7091
17,2018-09-18,38,0-5,20.5714,0.6028,0.5189,0.7028
17,2018-09-18,38,6-11,39.0000,0.9839,0.8425,1.1472
17,2018-09-18,38,12-17,16.1429,1.2035,1.0407,1.3889
17,2018-09-18,38,18-44,40.5714,0.9475,0.8128,1.1043
17,2018-09-18,38,45-64,28.4286,0.8838,0.7625,1.0251
17,2018-09-18,38,65+,15.7143,0.5789,0.4903,0.6948
18,2018-09-19,38,0-5,20.7143,0.5906,0.5082,0.6878
18,2018-09-19,38,6-11,38.8571,0.9578,0.8198,1.1198
18,2018-09-19,38,12-17,17.7143,1.1785,1.0177,1.3627
18,2018-09-19,38,18-44,43.1429,0.9352,0.8035,1.0922
18,2018-09-19,38,45-64,30.4286,0.8715,0.7518,1.0117
18,2018-09-19,38,65+,16.1429,0.5717,0.4781,0.6876
19,2018-09-20,38,0-5,19.8571,0.5881,0.5065,0.6879
19,2018-09-20,38,6-11,40.1429,0.9460,0.8119,1.1083
19,2018-09-20,38,12-17,17.5714,1.1696,1.0107,1.3527
19,2018-09-20,38,18-44,43.4286,0.9395,0.8065,1.0980
19,2018-09-20,38,45-64,29.8571,0.8767,0.7559,1.0165
19,2018-09-20,38,65+,16.2857,0.5783,0.4871,0.6939
20,2018-09-21,38,0-5,16.8571,0.6013,0.5166,0.7006
20,2018-09-21,38,6-11,31.0000,0.9562,0.8232,1.1152
20,2018-09-21,38,12-17,15.0000,1.1859,1.0266,1.3703
20,2018-09-21,38,18-44,37.0000,0.9679,0.8273,1.1320
20,2018-09-21,38,45-64,25.7143,0.9021,0.7757,1.0458
20,2018-09-21,38,65+,14.4286,0.6002,0.5044,0.7162
