day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2016-08-28,36,0-5,10.4286,10.8470,7.9636,14.1476,1.3334,1.0483,1.6746,NA
1,2016-08-28,36,6-11,13.5714,14.3396,11.2867,18.2113,1.5867,1.2854,1.9380,NA
1,2016-08-28,36,12-17,5.7143,6.1185,3.9291,8.6790,1.4250,1.1483,1.7576,NA
1,2016-08-28,36,18-44,28.7143,27.0797,22.1284,32.5283,1.0082,0.8130,1.2353,NA
1,2016-08-28,36,45-64,24.8571,23.7361,19.2331,28.8897,1.1198,0.8972,1.3798,NA
1,2016-08-28,36,65+,14.2857,13.4069,10.0167,17.1241,1.2506,0.9952,1.5557,NA
2,2016-08-29,36,0-5,10.5714,10.6528,8.4723,13.2447,1.3123,1.0596,1.6117,7.2274
2,2016-08-29,36,6-11,14.4286,14.0338,11.5487,16.8578,1.5888,1.3128,1.9049,8.9346
2,2016-08-29,36,12-17,5.5714,5.8555,4.3052,7.6984,1.4062,1.1603,1.7021,7.4673
2,2016-08-29,36,18-44,30.0000,28.4110,24.3842,32.7364,0.9757,0.8153,1.1652,4.8386
2,2016-08-29,36,45-64,28.7143,25.5062,21.7930,29.7684,1.0845,0.8964,1.3002,5.1925
2,2016-08-29,36,65+,14.8571,14.1940,11.5569,17.0313,1.2238,0.9988,1.4873,5.6791
3,2016-08-30,36,0-5,11.0000,10.3816,8.4126,12.7332,1.2845,1.0570,1.5662,3.3882
3,2016-08-30,36,6-11,14.0000,13.6361,11.3564,16.3900,1.5727,1.3177,1.8699,4.0581
3,2016-08-30,36,12-17,5.2857,5.6269,4.2485,7.1591,1.3758,1.1453,1.6485,3.4477
3,2016-08-30,36,18-44,30.5714,29.6762,25.1393,34.9510,0.9346,0.7932,1.1036,2.2920
3,2016-08-30,36,45-64,32.0000,27.5697,23.1522,32.4773,1.0319,0.8690,1.2250,2.5200
3,2016-08-30,36,65+,17.8571,15.3330,12.5561,18.3968,1.1712,0.9753,1.4080,2.8600
4,2016-08-31,36,0-5,10.7143,10.1665,8.2805,12.6314,1.2547,1.0415,1.5152,2.2522
4,2016-08-31,36,6-11,15.4286,13.3705,11.0781,16.2846,1.5462,1.3076,1.8322,2.8519
4,2016-08-31,36,12-17,5.4286,5.4803,4.0930,7.0416,1.3447,1.1285,1.5969,2.3295
4,2016-08-31,36,18-44,31.1429,30.5280,25.3566,36.7838,0.8917,0.7643,1.0481,1.5376
4,2016-08-31,36,45-64,31.7143,29.3485,24.1929,34.9931,0.9746,0.8304,1.1478,1.6793
4,2016-08-31,36,65+,19.0000,16.5187,13.4938,20.1113,1.1119,0.9318,1.3221,1.9276
5,2016-09-01,36,0-5,10.8571,10.0081,8.0463,12.6523,1.2310,1.0272,1.4756,1.7856
5,2016-09-01,36,6-11,15.2857,13.2590,10.8330,16.4582,1.5152,1.2833,1.7896,2.2265
5,2016-09-01,36,12-17,5.5714,5.4708,4.0602,7.1958,1.3147,1.1057,1.5639,1.8449
5,2016-09-01,36,18-44,31.1429,31.0598,25.5008,37.6253,0.8570,0.7329,1.0001,1.2042
5,2016-09-01,36,45-64,31.7143,30.5306,24.9950,36.8490,0.9253,0.7881,1.0868,1.3111
5,2016-09-01,36,65+,19.1429,17.7044,14.2514,21.7708,1.0536,0.8878,1.2477,1.4996
6,2016-09-02,36,0-5,11.0000,9.9786,7.8350,12.7027,1.2122,1.0101,1.4485,1.5417
6,2016-09-02,36,6-11,14.2857,13.2157,10.6228,16.5741,1.4876,1.2622,1.7479,1.8518
6,2016-09-02,36,12-17,5.2857,5.5705,4.1639,7.3796,1.2906,1.0900,1.5331,1.5688
6,2016-09-02,36,18-44,30.4286,31.5709,25.9419,38.4707,0.8275,0.7113,0.9661,1.0344
6,2016-09-02,36,45-64,33.1429,31.0970,25.5442,37.3532,0.8822,0.7549,1.0355,1.1376
6,2016-09-02,36,65+,19.2857,18.6501,14.9671,23.1392,1.0025,0.8466,1.1865,1.2957
7,2016-09-03,36,0-5,10.0000,9.9801,7.7657,12.7882,1.1970,0.9992,1.4279,1.3550
7,2016-09-03,36,6-11,14.2857,13.2159,10.5256,16.6440,1.4575,1.2370,1.7191,1.7030
7,2016-09-03,36,12-17,6.4286,5.7639,4.2881,7.7747,1.2716,1.0775,1.5042,1.5377
7,2016-09-03,36,18-44,31.4286,32.3296,26.8435,39.2926,0.8035,0.6891,0.9353,0.9456
7,2016-09-03,36,45-64,32.4286,31.1139,25.5303,37.4769,0.8474,0.7216,0.9931,1.0370
7,2016-09-03,36,65+,19.1429,19.3241,15.5587,23.8865,0.9574,0.8067,1.1411,1.1684
8,2016-09-04,37,0-5,10.0000,9.9853,7.7505,12.8937,1.1835,0.9871,1.4192,1.2747
8,2016-09-04,37,6-11,13.4286,13.2421,10.5244,16.6923,1.4271,1.2083,1.6756,1.5593
8,2016-09-04,37,12-17,6.4286,6.0243,4.4829,8.1531,1.2555,1.0647,1.4877,1.4297
8,2016-09-04,37,18-44,30.7143,33.3244,27.8126,40.4282,0.7824,0.6697,0.9104,0.8808
