scenario,day,quantity,series,mid,lo,hi
step,1,Rt,true,1.199998,1.199998,1.199998
step,1,Rt,PS,1.092162,0.670876,1.794006
step,1,Rt,PF,1.051407,0.582018,1.894481
step,1,obs,true,6,6,6
step,1,obs,PS,0.000000,0.000000,0.000000
step,1,obs,PF,0.000000,0.000000,0.000000
step,2,Rt,true,1.199997,1.199997,1.199997
step,2,Rt,PS,1.133295,0.656305,1.937919
step,2,Rt,PF,1.055603,0.458659,2.411428
step,2,obs,true,6,6,6
step,2,obs,PS,5.666401,3.439286,8.416177
step,2,obs,PF,5.666401,3.439286,8.416177
step,3,Rt,true,1.199996,1.199996,1.199996
step,3,Rt,PS,1.186701,0.688109,1.979398
step,3,Rt,PF,1.055761,0.383721,2.828118
step,3,obs,true,6,6,6
step,3,obs,PS,5.827286,3.866302,8.501983
step,3,obs,PF,5.827286,3.866302,8.501983
step,4,Rt,true,1.199995,1.199995,1.199995
step,4,Rt,PS,1.216868,0.702666,1.959150
step,4,Rt,PF,1.037888,0.335826,2.927181
step,4,obs,true,6,6,6
step,4,obs,PS,5.910149,3.821074,9.472915
step,4,obs,PF,5.910149,3.821074,9.472915
step,5,Rt,true,1.199994,1.199994,1.199994
step,5,Rt,PS,1.214633,0.694453,1.938570
step,5,Rt,PF,1.079110,0.332939,3.089108
step,5,obs,true,7,7,7
step,5,obs,PS,6.242370,3.824348,10.792896
step,5,obs,PF,6.242370,3.824348,10.792896
step,6,Rt,true,1.199993,1.199993,1.199993
step,6,Rt,PS,1.192373,0.718797,1.947225
step,6,Rt,PF,1.094806,0.341668,3.035517
step,6,obs,true,7,7,7
step,6,obs,PS,6.563196,3.821013,11.626653
step,6,obs,PF,6.563196,3.821013,11.626653
step,7,Rt,true,1.199992,1.199992,1.199992
step,7,Rt,PS,1.186843,0.704123,1.962178
step,7,Rt,PF,1.165230,0.373490,3.143884
step,7,obs,true,8,8,8
step,7,obs,PS,7.267382,4.137165,12.855130
step,7,obs,PF,7.267382,4.137165,12.855130
step,8,Rt,true,1.199991,1.199991,1.199991
step,8,Rt,PS,1.178387,0.705156,1.935090
step,8,Rt,PF,1.160400,0.382194,3.119505
step,8,obs,true,8,8,8
step,8,obs,PS,7.723061,4.425912,13.500147
step,8,obs,PF,7.723061,4.425912,13.500147
step,9,Rt,true,1.199990,1.199990,1.199990
step,9,Rt,PS,1.168669,0.680815,1.907692
step,9,Rt,PF,1.119072,0.370268,2.999957
step,9,obs,true,8,8,8
step,9,obs,PS,7.977442,4.586909,13.762577
step,9,obs,PF,7.977442,4.586909,13.762577
step,10,Rt,true,1.199989,1.199989,1.199989
step,10,Rt,PS,1.182050,0.697929,1.953058
step,10,Rt,PF,1.140017,0.372668,3.070492
step,10,obs,true,9,9,9
step,10,obs,PS,8.566985,5.034882,14.572476
step,10,obs,PF,8.566985,5.034882,14.572476
step,11,Rt,true,1.199987,1.199987,1.199987
step,11,Rt,PS,1.161172,0.705684,1.931225
step,11,Rt,PF,1.116788,0.364747,2.990620
step,11,obs,true,9,9,9
step,11,obs,PS,8.899555,5.270678,14.982805
step,11,obs,PF,8.899555,5.270678,14.982805
step,12,Rt,true,1.199986,1.199986,1.199986
step,12,Rt,PS,1.180610,0.689472,1.936788
step,12,Rt,PF,1.135103,0.374379,3.026730
step,12,obs,true,10,10,10
step,12,obs,PS,9.519709,5.708878,15.940083
step,12,obs,PF,9.519709,5.708878,15.940083
step,13,Rt,true,1.199985,1.199985,1.199985
step,13,Rt,PS,1.172748,0.703296,1.906089
step,13,Rt,PF,1.108768,0.363203,2.992768
step,13,obs,true,10,10,10
step,13,obs,PS,9.856390,5.944934,16.385320
step,13,obs,PF,9.856390,5.944934,16.385320
step,14,Rt,true,1.199983,1.199983,1.199983
step,14,Rt,PS,1.175003,0.703266,1.880363
step,14,Rt,PF,1.126195,0.374405,2.985196
step,14,obs,true,11,11,11
step,14,obs,PS,10.505321,6.380766,17.379867
step,14,obs,PF,10.505321,6.380766,17.379867
step,15,Rt,true,1.199982,1.199982,1.199982
step,15,Rt,PS,1.164657,0.692582,1.894292
step,15,Rt,PF,1.098117,0.367930,2.872602
step,15,obs,true,11,11,11
step,15,obs,PS,10.870980,6.638005,17.766144
step,15,obs,PF,10.870980,6.638005,17.766144
step,16,Rt,true,1.199980,1.199980,1.199980
step,16,Rt,PS,1.183933,0.722317,1.884085
step,16,Rt,PF,1.108120,0.377425,2.926494
step,16,obs,true,12,12,12
step,16,obs,PS,11.549307,7.108554,18.669242
step,16,obs,PF,11.549307,7.108554,18.669242
step,17,Rt,true,1.199978,1.199978,1.199978
step,17,Rt,PS,1.189291,0.701762,1.928787
step,17,Rt,PF,1.135530,0.389992,2.982552
step,17,obs,true,13,13,13
step,17,obs,PS,12.394325,7.721851,19.966856
step,17,obs,PF,12.394325,7.721851,19.966856
step,18,Rt,true,1.199976,1.199976,1.199976
step,18,Rt,PS,1.179090,0.717657,1.881821
step,18,Rt,PF,1.105377,0.379317,2.932964
step,18,obs,true,13,13,13
step,18,obs,PS,12.843640,8.126231,20.601331
step,18,obs,PF,12.843640,8.126231,20.601331
step,19,Rt,true,1.199975,1.199975,1.199975
step,19,Rt,PS,1.178811,0.698501,1.936103
step,19,Rt,PF,1.114019,0.379159,2.903984
step,19,obs,true,14,14,14
step,19,obs,PS,13.531074,8.595244,21.530711
step,19,obs,PF,13.531074,8.595244,21.530711
step,20,Rt,true,1.199972,1.199972,1.199972
step,20,Rt,PS,1.171913,0.723922,1.868261
step,20,Rt,PF,1.130874,0.386716,2.953146
step,20,obs,true,15,15,15
step,20,obs,PS,14.405503,9.217776,22.901838
step,20,obs,PF,14.405503,9.217776,22.901838
step,21,Rt,true,1.199970,1.199970,1.199970
step,21,Rt,PS,1.169614,0.699038,1.824186
step,21,Rt,PF,1.145278,0.396605,2.959992
step,21,obs,true,16,16,16
step,21,obs,PS,15.447022,9.962962,24.236257
step,21,obs,PF,15.447022,9.962962,24.236257
step,22,Rt,true,1.199968,1.199968,1.199968
step,22,Rt,PS,1.183753,0.716390,1.841940
step,22,Rt,PF,1.155821,0.402030,2.984400
step,22,obs,true,17,17,17
step,22,obs,PS,16.508961,10.667255,25.709303
step,22,obs,PF,16.508961,10.667255,25.709303
step,23,Rt,true,1.199966,1.199966,1.199966
step,23,Rt,PS,1.227863,0.757589,1.913054
step,23,Rt,PF,1.162354,0.402619,2.960962
step,23,obs,true,18,18,18
step,23,obs,PS,17.621194,11.499347,27.232754
step,23,obs,PF,17.621194,11.499347,27.232754
step,24,Rt,true,1.199963,1.199963,1.199963
