day,age_group,incidence,incidence_per1000,incidence_per100k
1,0-5,330.931330,0.184693,18.469335
1,6-11,263.808763,0.097434,9.743363
1,12-17,106.224550,0.038319,3.831919
1,18-44,378.044663,0.020975,2.097531
1,45-64,166.399298,0.009860,0.985955
1,65+,120.274235,0.012978,1.297836
2,0-5,328.081813,0.183103,18.310303
2,6-11,319.737799,0.118090,11.809014
2,12-17,114.303266,0.041233,4.123349
2,18-44,387.435862,0.021496,2.149637
2,45-64,160.825000,0.009529,0.952926
2,65+,105.073442,0.011338,1.133810
3,0-5,325.648649,0.181745,18.174508
3,6-11,404.900079,0.149543,14.954349
3,12-17,126.230268,0.045536,4.553600
3,18-44,403.551557,0.022391,2.239052
3,45-64,154.978536,0.009183,0.918284
3,65+,86.724254,0.009358,0.935810
4,0-5,325.535413,0.181682,18.168188
4,6-11,511.765541,0.189013,18.901258
4,12-17,140.616838,0.050726,5.072578
4,18-44,426.652422,0.023672,2.367224
4,45-64,151.630782,0.008984,0.898448
4,65+,70.729754,0.007632,0.763219
5,0-5,328.803048,0.183506,18.350555
5,6-11,641.288651,0.236850,23.684991
5,12-17,157.442095,0.056795,5.679528
5,18-44,458.186970,0.025422,2.542190
5,45-64,151.953184,0.009004,0.900358
5,65+,58.632153,0.006327,0.632679
6,0-5,336.258969,0.187667,18.766672
6,6-11,797.509134,0.294547,29.454749
6,12-17,177.211626,0.063927,6.392690
6,18-44,500.142645,0.027750,2.774975
6,45-64,156.522133,0.009274,0.927430
6,65+,50.434243,0.005442,0.544218
7,0-5,348.722026,0.194622,19.462237
7,6-11,986.178421,0.364230,36.422954
7,12-17,200.705671,0.072402,7.240208
7,18-44,554.951997,0.030791,3.079078
7,45-64,165.778997,0.009823,0.982279
7,65+,45.661614,0.004927,0.492718
8,0-5,367.150294,0.204907,20.490722
8,6-11,1214.554630,0.448577,44.857671
8,12-17,228.921981,0.082581,8.258077
8,18-44,625.557947,0.034708,3.470825
8,45-64,180.240433,0.010680,1.067967
8,65+,43.799297,0.004726,0.472622
9,0-5,392.719535,0.219177,21.917746
9,6-11,1491.567128,0.550887,55.088693
9,12-17,263.089568,0.094906,9.490630
9,18-44,715.545323,0.039701,3.970109
9,45-64,200.604819,0.011886,1.188631
9,65+,44.451362,0.004797,0.479659
10,0-5,426.889988,0.238248,23.824804
10,6-11,1828.130648,0.675191,67.519139
10,12-17,304.714202,0.109922,10.992187
10,18-44,829.317096,0.046014,4.601356
10,45-64,227.821350,0.013499,1.349895
10,65+,47.385134,0.005113,0.511316
11,0-5,471.477637,0.263132,26.313249
