day,age_group,incidence,incidence_per1000,incidence_per100k
1,0-5,495.000000,0.276260,27.626036
1,6-11,252.000000,0.093072,9.307225
1,12-17,107.000000,0.038599,3.859892
1,18-44,311.000000,0.017255,1.725542
1,45-64,161.000000,0.009540,0.953963
1,65+,92.000000,0.009927,0.992739
2,0-5,426.000000,0.237751,23.775134
2,6-11,492.000000,0.181712,18.171249
2,12-17,92.000000,0.033188,3.318786
2,18-44,395.000000,0.021916,2.191605
2,45-64,123.000000,0.007288,0.728804
2,65+,159.000000,0.017157,1.715712
3,0-5,253.000000,0.141200,14.119974
3,6-11,447.000000,0.165092,16.509244
3,12-17,116.000000,0.041846,4.184556
3,18-44,375.000000,0.020806,2.080638
3,45-64,140.000000,0.008295,0.829533
3,65+,83.000000,0.008956,0.895623
4,0-5,477.000000,0.266215,26.621453
4,6-11,503.000000,0.185775,18.577516
4,12-17,136.000000,0.049060,4.906031
4,18-44,329.000000,0.018254,1.825413
4,45-64,161.000000,0.009540,0.953963
4,65+,48.000000,0.005180,0.517951
5,0-5,252.000000,0.140642,14.064164
5,6-11,665.000000,0.245607,24.560732
5,12-17,142.000000,0.051225,5.122474
5,18-44,424.000000,0.023525,2.352508
5,45-64,122.000000,0.007229,0.722879
5,65+,51.000000,0.005503,0.550323
6,0-5,299.000000,0.166872,16.687242
6,6-11,736.000000,0.271830,27.183006
6,12-17,128.000000,0.046174,4.617441
6,18-44,507.000000,0.028130,2.813022
6,45-64,176.000000,0.010428,1.042841
6,65+,72.000000,0.007769,0.776926
7,0-5,264.000000,0.147339,14.733886
7,6-11,798.000000,0.294729,29.472879
7,12-17,164.000000,0.059161,5.916097
7,18-44,612.000000,0.033956,3.395601
7,45-64,227.000000,0.013450,1.345028
7,65+,61.000000,0.006582,0.658229
8,0-5,291.000000,0.162408,16.240761
8,6-11,1550.000000,0.572468,57.246819
8,12-17,115.000000,0.041485,4.148482
8,18-44,532.000000,0.029517,2.951732
8,45-64,125.000000,0.007407,0.740654
8,65+,27.000000,0.002913,0.291347
9,0-5,518.000000,0.289097,28.909670
9,6-11,889.000000,0.328338,32.833821
9,12-17,230.000000,0.082970,8.296965
9,18-44,879.000000,0.048770,4.877015
9,45-64,175.000000,0.010369,1.036916
9,65+,31.000000,0.003345,0.334510
10,0-5,497.000000,0.277377,27.737656
10,6-11,1552.000000,0.573207,57.320686
10,12-17,361.000000,0.130226,13.022628
10,18-44,607.000000,0.033679,3.367859
10,45-64,219.000000,0.012976,1.297626
10,65+,55.000000,0.005935,0.593485
11,0-5,435.000000,0.242774,24.277426
11,6-11,2236.000000,0.825832,82.583154
11,12-17,261.000000,0.094153,9.415252
11,18-44,1122.000000,0.062253,6.225268
11,45-64,168.000000,0.009954,0.995439
