day,age_group,incidence
1,0-5,293
1,6-11,337
1,12-17,97
1,18-44,443
1,45-64,183
1,65+,156
2,0-5,377
2,6-11,209
2,12-17,85
2,18-44,348
2,45-64,173
2,65+,104
3,0-5,265
3,6-11,402
3,12-17,127
3,18-44,282
3,45-64,177
3,65+,57
4,0-5,233
4,6-11,411
4,12-17,177
4,18-44,395
4,45-64,141
4,65+,52
5,0-5,381
5,6-11,622
5,12-17,174
5,18-44,625
5,45-64,194
5,65+,63
6,0-5,268
6,6-11,836
6,12-17,148
6,18-44,331
6,45-64,136
6,65+,38
7,0-5,357
7,6-11,748
7,12-17,276
7,18-44,529
7,45-64,141
7,65+,47
8,0-5,316
8,6-11,1246
8,12-17,218
8,18-44,503
8,45-64,216
8,65+,43
9,0-5,434
9,6-11,1282
9,12-17,308
9,18-44,772
9,45-64,215
9,65+,70
10,0-5,371
10,6-11,1728
10,12-17,448
10,18-44,770
10,45-64,191
10,65+,44
11,0-5,492
11,6-11,2077
11,12-17,321
11,18-44,1094
11,45-64,192
11,65+,38
12,0-5,568
12,6-11,3334
12,12-17,294
12,18-44,1072
12,45-64,206
12,65+,33
13,0-5,782
13,6-11,2093
13,12-17,371
13,18-44,1526
13,45-64,329
13,65+,76
14,0-5,756
14,6-11,4126
14,12-17,595
14,18-44,1661
14,45-64,384
14,65+,87
15,0-5,738
15,6-11,3959
15,12-17,946
15,18-44,1916
15,45-64,539
15,65+,74
16,0-5,1098
16,6-11,8139
16,12-17,702
16,18-44,2519
16,45-64,586
16,65+,115
17,0-5,1187
17,6-11,8099
17,12-17,691
17,18-44,3231
17,45-64,478
17,65+,130
18,0-5,1355
18,6-11,8351
18,12-17,1324
18,18-44,4905
18,45-64,904
18,65+,179
19,0-5,1592
19,6-11,8729
19,12-17,1548
19,18-44,3727
19,45-64,1340
19,65+,197
20,0-5,2454
20,6-11,12157
20,12-17,1922
20,18-44,6161
20,45-64,2036
20,65+,292
21,0-5,2376
21,6-11,23094
21,12-17,2226
21,18-44,6826
21,45-64,1547
21,65+,359
22,0-5,3131
22,6-11,14422
22,12-17,3574
22,18-44,12833
22,45-64,2667
22,65+,538
23,0-5,3098
23,6-11,25236
23,12-17,2781
23,18-44,8931
23,45-64,3062
23,65+,619
24,0-5,3543
24,6-11,13809
24,12-17,4307
24,18-44,12801
24,45-64,2700
24,65+,947
25,0-5,5304
25,6-11,35576
25,12-17,4316
25,18-44,16260
25,45-64,2976
25,65+,743
26,0-5,3544
26,6-11,33684
26,12-17,5430
26,18-44,14952
26,45-64,4916
26,65+,647
27,0-5,10657
27,6-11,39564
27,12-17,12569
27,18-44,24376
27,45-64,7348
27,65+,750
28,0-5,5319
28,6-11,56235
28,12-17,12221
28,18-44,26380
28,45-64,8191
28,65+,1495
29,0-5,9629
29,6-11,51545
29,12-17,13944
29,18-44,27441
29,45-64,9583
29,65+,1602
30,0-5,11501
30,6-11,65627
30,12-17,14680
30,18-44,31595
30,45-64,9280
30,65+,2261
31,0-5,14989
31,6-11,80701
31,12-17,12821
31,18-44,46627
31,45-64,10032
31,65+,2465
32,0-5,15680
32,6-11,131372
32,12-17,20628
32,18-44,46571
32,45-64,16021
32,65+,2602
33,0-5,29296
33,6-11,100057
33,12-17,25806
33,18-44,50397
33,45-64,22007
33,65+,2976
34,0-5,15443
34,6-11,129985
34,12-17,29430
34,18-44,74041
34,45-64,18417
34,65+,4940
35,0-5,19143
35,6-11,93082
35,12-17,29344
35,18-44,64025
35,45-64,30508
35,65+,3491
36,0-5,31556
36,6-11,109180
36,12-17,37943
36,18-44,124313
36,45-64,29415
36,65+,4597
37,0-5,38394
37,6-11,104277
37,12-17,49845
37,18-44,91754
37,45-64,25060
37,65+,6017
38,0-5,39100
38,6-11,101796
38,12-17,42868
38,18-44,115827
38,45-64,38618
38,65+,8223
39,0-5,39572
39,6-11,116798
39,12-17,57501
39,18-44,166931
39,45-64,43212
39,65+,6166
40,0-5,35840
40,6-11,86860
40,12-17,51591
40,18-44,138680
40,45-64,33242
40,65+,6866
41,0-5,48429
41,6-11,101720
41,12-17,59085
41,18-44,121993
41,45-64,50772
41,65+,7169
42,0-5,37168
42,6-11,93472
42,12-17,75890
42,18-44,122750
42,45-64,68036
42,65+,7379
43,0-5,50466
43,6-11,53716
43,12-17,101619
43,18-44,153151
43,45-64,38807
43,65+,9668
44,0-5,43903
44,6-11,83466
44,12-17,59721
44,18-44,134297
44,45-64,59601
44,65+,6911
45,0-5,36343
45,6-11,62409
45,12-17,64275
45,18-44,134348
45,45-64,65110
45,65+,9829
46,0-5,44149
46,6-11,49494
46,12-17,70843
46,18-44,186494
46,45-64,79369
46,65+,9588
47,0-5,47306
47,6-11,46228
47,12-17,66488
47,18-44,155255
47,45-64,58069
47,65+,10997
48,0-5,36567
48,6-11,47603
48,12-17,65313
48,18-44,118495
48,45-64,47581
48,65+,14143
49,0-5,34040
49,6-11,37208
