day,age_group,Rt
1,0-5,1.339049
1,6-11,2.311691
1,12-17,1.442413
1,18-44,0.716412
1,45-64,0.585959
1,65+,0.477594
2,0-5,1.349362
2,6-11,2.324930
2,12-17,1.454397
2,18-44,0.722411
2,45-64,0.591069
2,65+,0.481464
3,0-5,1.359660
3,6-11,2.337983
3,12-17,1.466397
3,18-44,0.728456
3,45-64,0.596248
3,65+,0.485405
4,0-5,1.369933
4,6-11,2.350811
4,12-17,1.478402
4,18-44,0.734541
4,45-64,0.601493
4,65+,0.489412
5,0-5,1.380172
5,6-11,2.363382
5,12-17,1.490403
5,18-44,0.740661
5,45-64,0.606798
5,65+,0.493482
6,0-5,1.390367
6,6-11,2.375661
6,12-17,1.502389
6,18-44,0.746809
6,45-64,0.612161
6,65+,0.497614
7,0-5,1.400506
7,6-11,2.387607
7,12-17,1.514351
7,18-44,0.752980
7,45-64,0.617576
7,65+,0.501802
8,0-5,1.410578
8,6-11,2.399174
8,12-17,1.526277
8,18-44,0.759166
8,45-64,0.623040
8,65+,0.506044
9,0-5,1.420567
9,6-11,2.410305
9,12-17,1.538152
9,18-44,0.765359
9,45-64,0.628547
9,65+,0.510336
10,0-5,1.430456
10,6-11,2.420932
10,12-17,1.549963
10,18-44,0.771548
10,45-64,0.634091
10,65+,0.514671
11,0-5,1.440226
11,6-11,2.430973
11,12-17,1.561690
11,18-44,0.777724
11,45-64,0.639665
11,65+,0.519046
12,0-5,1.449854
12,6-11,2.440330
12,12-17,1.573314
12,18-44,0.783872
12,45-64,0.645262
12,65+,0.523452
13,0-5,1.459311
13,6-11,2.448882
13,12-17,1.584811
13,18-44,0.789978
13,45-64,0.650872
13,65+,0.527885
14,0-5,1.468566
14,6-11,2.456486
14,12-17,1.596151
14,18-44,0.796023
14,45-64,0.656485
14,65+,0.532333
15,0-5,1.477580
15,6-11,2.462969
15,12-17,1.607303
15,18-44,0.801986
15,45-64,0.662089
15,65+,0.536789
16,0-5,1.486304
16,6-11,2.468122
16,12-17,1.618224
16,18-44,0.807840
16,45-64,0.667670
16,65+,0.541239
17,0-5,1.494685
17,6-11,2.471696
17,12-17,1.628868
17,18-44,0.813555
17,45-64,0.673209
17,65+,0.545670
18,0-5,1.502654
18,6-11,2.473394
18,12-17,1.639178
18,18-44,0.819096
18,45-64,0.678688
18,65+,0.550065
19,0-5,1.510132
19,6-11,2.472868
19,12-17,1.649086
19,18-44,0.824418
19,45-64,0.684081
19,65+,0.554406
20,0-5,1.517023
20,6-11,2.469709
20,12-17,1.658510
20,18-44,0.829473
20,45-64,0.689363
20,65+,0.558669
21,0-5,1.523216
21,6-11,2.463448
21,12-17,1.667356
21,18-44,0.834200
21,45-64,0.694499
21,65+,0.562830
22,0-5,1.528579
22,6-11,2.453554
22,12-17,1.675512
22,18-44,0.838535
22,45-64,0.699454
22,65+,0.566857
23,0-5,1.532962
23,6-11,2.439441
23,12-17,1.682849
23,18-44,0.842399
23,45-64,0.704184
23,65+,0.570717
24,0-5,1.536191
24,6-11,2.420485
24,12-17,1.689220
24,18-44,0.845710
24,45-64,0.708641
24,65+,0.574373
25,0-5,1.538076
25,6-11,2.396044
25,12-17,1.694459
25,18-44,0.848378
25,45-64,0.712775
25,65+,0.577785
26,0-5,1.538409
26,6-11,2.365505
26,12-17,1.698384
26,18-44,0.850308
26,45-64,0.716529
26,65+,0.580910
27,0-5,1.536973
27,6-11,2.328335
27,12-17,1.700803
27,18-44,0.851409
27,45-64,0.719848
27,65+,0.583707
28,0-5,1.533549
28,6-11,2.284154
28,12-17,1.701519
28,18-44,0.851597
28,45-64,0.722678
28,65+,0.586138
29,0-5,1.527933
29,6-11,2.232815
29,12-17,1.700336
29,18-44,0.850805
29,45-64,0.724969
29,65+,0.588169
30,0-5,1.519950
30,6-11,2.174479
30,12-17,1.697079
30,18-44,0.848988
30,45-64,0.726683
30,65+,0.589777
31,0-5,1.509469
31,6-11,2.109682
31,12-17,1.691596
31,18-44,0.846135
31,45-64,0.727795
31,65+,0.590954
32,0-5,1.496425
32,6-11,2.039356
32,12-17,1.683780
32,18-44,0.842273
32,45-64,0.728298
32,65+,0.591705
33,0-5,1.480829
33,6-11,1.964809
33,12-17,1.673573
33,18-44,0.837470
33,45-64,0.728206
33,65+,0.592053
34,0-5,1.462781
34,6-11,1.887639
34,12-17,1.660977
34,18-44,0.831830
34,45-64,0.727549
34,65+,0.592035
35,0-5,1.442463
35,6-11,1.809602
35,12-17,1.646053
35,18-44,0.825488
35,45-64,0.726377
35,65+,0.591703
36,0-5,1.420138
36,6-11,1.732447
36,12-17,1.628921
36,18-44,0.818595
36,45-64,0.724752
36,65+,0.591115
37,0-5,1.396133
37,6-11,1.657761
37,12-17,1.609753
37,18-44,0.811312
37,45-64,0.722744
37,65+,0.590333
38,0-5,1.370818
38,6-11,1.586842
38,12-17,1.588767
38,18-44,0.803791
38,45-64,0.720427
38,65+,0.589417
39,0-5,1.344588
39,6-11,1.520628
39,12-17,1.566216
39,18-44,0.796173
39,45-64,0.717872
39,65+,0.588422
40,0-5,1.317840
40,6-11,1.459686
40,12-17,1.542381
40,18-44,0.788577
40,45-64,0.715149
40,65+,0.587398
41,0-5,1.290953
41,6-11,1.404245
41,12-17,1.517563
41,18-44,0.781104
41,45-64,0.712322
41,65+,0.586383
42,0-5,1.264279
42,6-11,1.354261
42,12-17,1.492072
42,18-44,0.773835
42,45-64,0.709447
42,65+,0.585414
43,0-5,1.238125
43,6-11,1.309493
43,12-17,1.466220
43,18-44,0.766831
43,45-64,0.706578
43,65+,0.584516
44,0-5,1.212753
44,6-11,1.269576
44,12-17,1.440311
44,18-44,0.760141
44,45-64,0.703760
44,65+,0.583713
45,0-5,1.188372
45,6-11,1.234079
45,12-17,1.414631
45,18-44,0.753800
45,45-64,0.701036
45,65+,0.583021
46,0-5,1.165143
46,6-11,1.202554
46,12-17,1.389444
46,18-44,0.747835
46,45-64,0.698441
46,65+,0.582457
47,0-5,1.143177
47,6-11,1.174563
47,12-17,1.364981
47,18-44,0.742263
47,45-64,0.696005
47,65+,0.582032
48,0-5,1.122545
48,6-11,1.149695
48,12-17,1.341439
48,18-44,0.737094
48,45-64,0.693755
48,65+,0.581754
49,0-5,1.103279
49,6-11,1.127582
49,12-17,1.318977
49,18-44,0.732333
49,45-64,0.691711
49,65+,0.581631
50,0-5,1.085382
50,6-11,1.107894
50,12-17,1.297714
50,18-44,0.727981
50,45-64,0.689889
50,65+,0.581667
51,0-5,1.068832
51,6-11,1.090343
51,12-17,1.277736
51,18-44,0.724031
51,45-64,0.688300
51,65+,0.581864
52,0-5,1.053589
52,6-11,1.074677
52,12-17,1.259092
52,18-44,0.720478
52,45-64,0.686950
52,65+,0.582224
53,0-5,1.039599
53,6-11,1.060681
53,12-17,1.241802
53,18-44,0.717310
53,45-64,0.685844
53,65+,0.582745
54,0-5,1.026798
54,6-11,1.048166
54,12-17,1.225861
54,18-44,0.714513
54,45-64,0.684979
54,65+,0.583425
55,0-5,1.015117
55,6-11,1.036969
55,12-17,1.211241
55,18-44,0.712073
55,45-64,0.684354
55,65+,0.584260
56,0-5,1.004483
56,6-11,1.026948
56,12-17,1.197900
56,18-44,0.709973
56,45-64,0.683962
56,65+,0.585245
57,0-5,0.994825
57,6-11,1.017980
57,12-17,1.185780
57,18-44,0.708196
57,45-64,0.683795
57,65+,0.586376
58,0-5,0.986069
58,6-11,1.009957
58,12-17,1.174817
58,18-44,0.706722
58,45-64,0.683844
58,65+,0.587644
59,0-5,0.978144
59,6-11,1.002781
59,12-17,1.164941
59,18-44,0.705534
59,45-64,0.684097
59,65+,0.589042
60,0-5,0.970985
60,6-11,0.996369
60,12-17,1.156077
60,18-44,0.704613
60,45-64,0.684545
60,65+,0.590564
61,0-5,0.964526
61,6-11,0.990644
61,12-17,1.148150
61,18-44,0.703939
61,45-64,0.685173
61,65+,0.592201
62,0-5,0.958707
62,6-11,0.985538
62,12-17,1.141086
62,18-44,0.703495
62,45-64,0.685971
62,65+,0.593945
63,0-5,0.953470
63,6-11,0.980990
63,12-17,1.134813
63,18-44,0.703262
63,45-64,0.686924
63,65+,0.595787
64,0-5,0.948763
64,6-11,0.976944
64,12-17,1.129261
64,18-44,0.703222
64,45-64,0.688021
64,65+,0.597720
65,0-5,0.944537
65,6-11,0.973350
65,12-17,1.124363
65,18-44,0.703360
65,45-64,0.689248
65,65+,0.599735
66,0-5,0.940745
66,6-11,0.970162
66,12-17,1.120057
66,18-44,0.703657
66,45-64,0.690594
66,65+,0.601824
67,0-5,0.937344
67,6-11,0.967338
67,12-17,1.116285
67,18-44,0.704100
67,45-64,0.692047
67,65+,0.603978
68,0-5,0.934296
68,6-11,0.964841
68,12-17,1.112991
68,18-44,0.704672
68,45-64,0.693594
68,65+,0.606191
69,0-5,0.931564
69,6-11,0.962634
69,12-17,1.110126
69,18-44,0.705361
69,45-64,0.695226
69,65+,0.608455
70,0-5,0.929115
70,6-11,0.960687
70,12-17,1.107642
70,18-44,0.706151
70,45-64,0.696931
70,65+,0.610762
71,0-5,0.926917
71,6-11,0.958969
71,12-17,1.105496
71,18-44,0.707032
71,45-64,0.698699
71,65+,0.613105
72,0-5,0.924943
72,6-11,0.957455
72,12-17,1.103649
72,18-44,0.707990
72,45-64,0.700520
72,65+,0.615478
