Np,day,age_group,ess,resampled
100000,1,0-5,99874.73114856544,false
100000,1,6-11,99149.32858506749,false
100000,1,12-17,99215.13712566836,false
100000,1,18-44,99795.5580061405,false
100000,1,45-64,98806.4031777959,false
100000,1,65+,99485.16389009697,false
100000,2,0-5,92712.93147709445,false
100000,2,6-11,43454.14202616863,true
100000,2,12-17,78516.74725944262,false
100000,2,18-44,85697.71179044961,false
100000,2,45-64,63175.18139243998,false
100000,2,65+,81378.61578276101,false
100000,3,0-5,41549.140253275546,true
100000,3,6-11,2690.9863459730886,true
100000,3,12-17,9752.691729595099,true
100000,3,18-44,51403.25796824415,false
100000,3,45-64,28185.673084475184,true
100000,3,65+,41468.26865191036,true
100000,4,0-5,63235.999843417485,false
100000,4,6-11,21649.671136442266,true
100000,4,12-17,39670.40865394594,true
100000,4,18-44,32587.732245146122,true
100000,4,45-64,73499.27065713299,false
100000,4,65+,69017.66136846312,false
100000,5,0-5,39644.93403987031,true
100000,5,6-11,64929.13049853455,false
100000,5,12-17,67737.76064821355,false
100000,5,18-44,86444.00325151175,false
100000,5,45-64,51764.4858619213,false
100000,5,65+,40878.717231036746,true
100000,6,0-5,84725.38328062571,false
100000,6,6-11,41330.2112311986,true
100000,6,12-17,46109.6705242321,true
100000,6,18-44,68989.38228960297,false
100000,6,45-64,39352.9420994758,true
100000,6,65+,83106.23569641725,false
100000,7,0-5,66181.70051419437,false
100000,7,6-11,84256.18718391216,false
100000,7,12-17,87014.5814942966,false
100000,7,18-44,54914.4916403796,false
100000,7,45-64,90297.43389404741,false
100000,7,65+,65410.61367294037,false
100000,8,0-5,51924.38380119599,false
100000,8,6-11,63941.48114640544,false
100000,8,12-17,69492.34074562267,false
100000,8,18-44,44019.7199057959,true
100000,8,45-64,75291.26246253496,false
100000,8,65+,52122.02758689499,false
100000,9,0-5,40837.50807488922,true
100000,9,6-11,47545.561801266864,true
100000,9,12-17,54519.36349638181,false
100000,9,18-44,88781.35085402802,false
100000,9,45-64,61221.748395867005,false
100000,9,65+,42101.18665798679,true
100000,10,0-5,88450.81340994095,false
100000,10,6-11,84898.39207062418,false
100000,10,12-17,42428.42978909598,true
100000,10,18-44,71579.30630038612,false
100000,10,45-64,49374.968371010706,true
100000,10,65+,91260.17492805312,false
100000,11,0-5,70947.17033240251,false
100000,11,6-11,64174.363675578876,false
100000,11,12-17,88232.24685855907,false
100000,11,18-44,57169.16844000793,false
100000,11,45-64,90569.36532735333,false
100000,11,65+,77511.83443392611,false
100000,12,0-5,55638.389032744926,false
100000,12,6-11,47580.901103506556,true
100000,12,12-17,70538.55872083051,false
100000,12,18-44,45523.72075861895,true
100000,12,45-64,75178.09794929257,false
100000,12,65+,64337.31571022927,false
100000,13,0-5,43356.85297206417,true
100000,13,6-11,85010.6445461408,false
100000,13,12-17,54947.433850253794,false
100000,13,18-44,88214.78163426819,false
100000,13,45-64,60331.95396626202,false
100000,13,65+,52512.208048863686,false
100000,14,0-5,88410.88297424628,false
100000,14,6-11,63968.909011112344,false
100000,14,12-17,42845.37236151738,true
100000,14,18-44,71948.45076828529,false
100000,14,45-64,48471.257660341376,true
100000,14,65+,43055.205597826876,true
100000,15,0-5,70491.90294621342,false
100000,15,6-11,47249.73808679525,true
100000,15,12-17,87840.42553832807,false
100000,15,18-44,57210.75211535964,false
100000,15,45-64,89317.70255584647,false
100000,15,65+,90502.8514953081,false
100000,16,0-5,54540.582979093044,false
100000,16,6-11,84933.84124502534,false
100000,16,12-17,69319.69402235423,false
100000,16,18-44,44451.14840080082,true
100000,16,45-64,72598.87914074957,false
100000,16,65+,74502.99585619812,false
100000,17,0-5,42230.30722153518,true
100000,17,6-11,64181.021020810374,false
100000,17,12-17,53564.347221652395,false
100000,17,18-44,88475.9412186275,false
100000,17,45-64,57815.05849749336,false
100000,17,65+,60050.87843183978,false
100000,18,0-5,87556.48593354896,false
100000,18,6-11,47703.27457592019,true
100000,18,12-17,41307.756066540634,true
100000,18,18-44,70942.80535954256,false
100000,18,45-64,45855.472941201384,true
100000,18,65+,48124.926441665375,true
100000,19,0-5,69251.0308129933,false
100000,19,6-11,85366.74456116928,false
100000,19,12-17,87068.53944045238,false
100000,19,18-44,55040.118741759485,false
100000,19,45-64,88275.49772831019,false
100000,19,65+,89093.3528114987,false
100000,20,0-5,54024.17451026017,false
100000,20,6-11,64822.54105881489,false
100000,20,12-17,68808.80243105211,false
100000,20,18-44,43351.83367211744,true
100000,20,45-64,72031.10771094379,false
100000,20,65+,73676.0601495633,false
100000,21,0-5,41995.56960527324,true
100000,21,6-11,48289.83424706289,true
100000,21,12-17,53362.7949784564,false
100000,21,18-44,88263.54627563297,false
100000,21,45-64,57545.46694520338,false
100000,21,65+,59463.47432548953,false
100000,22,0-5,87551.21510137839,false
100000,22,6-11,85492.85394630184,false
100000,22,12-17,41072.42473799043,true
100000,22,18-44,70874.05921450845,false
100000,22,45-64,45503.015891974945,true
100000,22,65+,47253.899952957894,true
100000,23,0-5,69859.48463516963,false
100000,23,6-11,65172.54238150964,false
100000,23,12-17,87653.62670408752,false
100000,23,18-44,56323.37708975625,false
100000,23,45-64,89522.21504468714,false
100000,23,65+,89827.38459262025,false
100000,24,0-5,54641.26899319263,false
100000,24,6-11,48938.258042273235,true
100000,24,12-17,69403.2598990899,false
100000,24,18-44,44401.46898023608,true
100000,24,45-64,73213.12370716533,false
100000,24,65+,73823.55155629576,false
100000,25,0-5,42351.57526338544,true
100000,25,6-11,85913.43245550543,false
100000,25,12-17,53675.526492275036,false
100000,25,18-44,87834.25006734797,false
100000,25,45-64,58017.30730517359,false
100000,25,65+,58821.22088827646,false
100000,26,0-5,88098.84610624016,false
100000,26,6-11,65958.72302976155,false
100000,26,12-17,41573.72262807746,true
100000,26,18-44,71418.46274056952,false
100000,26,45-64,46356.02624902733,true
100000,26,65+,47378.10643687088,true
100000,27,0-5,70248.94684314268,false
100000,27,6-11,49977.892881956155,true
100000,27,12-17,87554.69892714225,false
100000,27,18-44,56890.39927979369,false
100000,27,45-64,89115.01151703147,false
100000,27,65+,89765.79399170732,false
100000,28,0-5,54721.84711031166,false
100000,28,6-11,86868.35569863103,false
100000,28,12-17,69345.87554748636,false
100000,28,18-44,44557.39504341036,true
100000,28,45-64,72773.31220698117,false
100000,28,65+,73747.42899240476,false
100000,29,0-5,42839.11747376012,true
100000,29,6-11,68032.99653584835,false
100000,29,12-17,53880.163029318144,false
100000,29,18-44,89030.3955657355,false
100000,29,45-64,58442.33525750006,false
100000,29,65+,59580.51713943307,false
100000,30,0-5,88609.78390596935,false
100000,30,6-11,52605.06403343837,false
100000,30,12-17,41788.41117812899,true
100000,30,18-44,72166.96573182801,false
100000,30,45-64,46875.62109688376,true
100000,30,65+,48004.792208125284,true
100000,31,0-5,71403.08385979391,false
100000,31,6-11,40925.928723906414,true
100000,31,12-17,87559.02226441081,false
100000,31,18-44,56572.37381773913,false
100000,31,45-64,89195.38941640394,false
100000,31,65+,89401.92232446425,false
100000,32,0-5,56185.83779479768,false
100000,32,6-11,88612.47828252401,false
100000,32,12-17,69491.17328543568,false
100000,32,18-44,44165.697026095564,true
100000,32,45-64,73165.828764433,false
100000,32,65+,73504.41480826754,false
100000,33,0-5,44379.393243724146,true
100000,33,6-11,71519.17322187977,false
100000,33,12-17,54237.278709479986,false
100000,33,18-44,89658.75235460268,false
100000,33,45-64,59057.54767496149,false
100000,33,65+,59674.97994505687,false
100000,34,0-5,89335.54497810073,false
100000,34,6-11,56907.04274032643,false
100000,34,12-17,42283.91047960735,true
100000,34,18-44,73486.9333241438,false
100000,34,45-64,47693.5967991589,true
100000,34,65+,48345.78480725486,true
100000,35,0-5,72851.45938266595,false
100000,35,6-11,45588.89728442147,true
100000,35,12-17,88269.86296727447,false
100000,35,18-44,58548.49777558875,false
100000,35,45-64,89776.86183405423,false
100000,35,65+,89918.41846721587,false
100000,36,0-5,58009.50087059132,false
100000,36,6-11,90829.07214804027,false
100000,36,12-17,70701.7344385178,false
100000,36,18-44,46410.13763188456,true
100000,36,45-64,74133.64350022603,false
100000,36,65+,74423.14818749594,false
100000,37,0-5,46165.52679775864,true
100000,37,6-11,76236.99587304753,false
100000,37,12-17,55855.772247404544,false
100000,37,18-44,90101.51769068484,false
100000,37,45-64,60093.3251903617,false
100000,37,65+,60562.241963360015,false
100000,38,0-5,89979.71777755213,false
100000,38,6-11,63168.058164817034,false
100000,38,12-17,44126.02456571657,true
100000,38,18-44,74513.83745350009,false
100000,38,45-64,48649.79495844071,true
100000,38,65+,49293.68556452974,true
