Np,L,sigma_rw,resample,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi
100000,16,0.15,every,1,0-5,1.339049,1.3611942180802927,1.1083883415773876,1.6627735222506521,330.93133,331.5571544624163,310.2555666230008,353.6312749454796
100000,16,0.15,every,1,6-11,2.311691,1.8620527331530685,1.579790762018945,2.080779227440004,263.808763,262.4034814267801,245.3585636204814,270.6442491879556
100000,16,0.15,every,1,12-17,1.442413,1.3811256895459991,1.1310568095418296,1.6745964451770536,106.22455,106.85857103534858,95.7372788298495,118.19848538461063
100000,16,0.15,every,1,18-44,0.716412,0.7644386160812959,0.6260523233658553,0.923941877222336,378.044663,381.10463627625006,359.34949615170007,404.88254417061677
100000,16,0.15,every,1,45-64,0.585959,0.650603740159195,0.5308734114871206,0.7867320032940464,166.399298,166.51997791498056,151.80198756880066,181.37305345261586
100000,16,0.15,every,1,65+,0.477594,0.5330458936194447,0.4366852559780939,0.6447595695313136,120.274235,119.96233516899571,108.42823390121058,132.5765516879358
100000,16,0.15,every,2,0-5,1.349362,1.4120661663183773,1.1880577115422302,1.6694298923611488,328.081813,326.1516968595297,303.82312553529624,349.8349694955023
100000,16,0.15,every,2,6-11,2.32493,2.2270326690131217,1.9589532317492542,2.630308364818322,319.737799,286.1837538173182,275.65963384633665,295.20071420561885
100000,16,0.15,every,2,12-17,1.454397,1.4783046981219545,1.2501470400636945,1.7279300736146213,114.303266,111.3829623311874,101.13977659085151,124.53261400946079
100000,16,0.15,every,2,18-44,0.722411,0.7896464697362289,0.6751639803878082,0.9235084562517369,387.435862,405.8489666086188,372.38692035590225,444.78021466714637
100000,16,0.15,every,2,45-64,0.591069,0.6558484284549974,0.558794688273905,0.7676827221319675,160.825,164.53678205770615,151.7141258114858,180.06517338470752
100000,16,0.15,every,2,65+,0.481464,0.5368170507899517,0.45745311503243735,0.6273701054817321,105.073442,105.93325097442644,97.49097967967657,114.83753386696719
100000,16,0.15,every,3,0-5,1.35966,1.443453945472357,1.2340139325579154,1.6917156539853317,325.648649,321.5626660310239,290.73765804541074,358.1192867222178
100000,16,0.15,every,3,6-11,2.337983,2.5218670364124334,2.1598973891503683,2.869530787928916,404.900079,347.3048367785706,324.2292459123232,352.32164139003464
100000,16,0.15,every,3,12-17,1.466397,1.5386049548269605,1.3162884994832116,1.786929966078405,126.230268,120.33702206299256,106.92095496564237,139.47243199560273
100000,16,0.15,every,3,18-44,0.728456,0.8019488069114559,0.6994721227580878,0.9222080013543635,403.551557,429.3861182999318,375.6232470755101,491.3097319362862
100000,16,0.15,every,3,45-64,0.596248,0.6577314181180752,0.5708824467112809,0.7580581295653647,154.978536,160.99654201648912,143.22329320807802,183.6790827630499
100000,16,0.15,every,3,65+,0.485405,0.5359312536728367,0.4658177918385095,0.6166764441481911,86.724254,88.26144687436425,80.37410629270178,97.71861645581197
100000,16,0.15,every,4,0-5,1.369933,1.4611917968751147,1.2470461053790072,1.711647767963956,325.535413,319.3286035744766,280.3883495620023,367.2351252594765
100000,16,0.15,every,4,6-11,2.350811,2.6010462552635953,2.208300776094785,3.041398445789412,511.765541,447.7258388673372,400.8052662769427,474.8294030948349
100000,16,0.15,every,4,12-17,1.478402,1.5749948968099385,1.348037265778593,1.8446014444739924,140.616838,133.29577564877025,115.09158867326568,157.16616166854328
100000,16,0.15,every,4,18-44,0.734541,0.8050390033530797,0.7019902547119156,0.9293735684046615,426.652422,443.64382085343186,380.0204334588618,519.723111835304
100000,16,0.15,every,4,45-64,0.601493,0.6564361930855585,0.5717860597737322,0.7585969614742368,151.630782,157.15807658491428,135.10626269035276,183.64814378971147
100000,16,0.15,every,4,65+,0.489412,0.5332817889004968,0.4658327043338741,0.613210069491562,70.729754,72.41552577235899,64.63767216405546,82.19065424959587
100000,16,0.15,every,5,0-5,1.380172,1.4605362852958252,1.2381201656120473,1.7182856697822753,328.803048,321.839035007632,277.53757951498415,374.51860548686386
100000,16,0.15,every,5,6-11,2.363382,2.593547584812142,2.222623373475552,3.061554922988534,641.288651,582.6046659754038,505.7942845632492,646.3197227980731
100000,16,0.15,every,5,12-17,1.490403,1.5834322844728086,1.3447962009825885,1.8556380744706142,157.442095,149.49580019902032,126.9450452451265,176.40462748717
100000,16,0.15,every,5,18-44,0.740661,0.799435841016338,0.6958713445438349,0.9224739121572021,458.18697,460.9040679840275,393.20428872112575,542.4126342587847
100000,16,0.15,every,5,45-64,0.606798,0.6511421263955726,0.5654730027699483,0.7507481186037261,151.953184,155.22327389842087,131.25559823381877,182.9654367091332
100000,16,0.15,every,5,65+,0.493482,0.5278259619993868,0.46134970881780574,0.6041780480624579,58.632153,59.8611004295567,51.85260199085195,69.41821610887416
100000,16,0.15,every,6,0-5,1.390367,1.4418021183880958,1.226795242203768,1.6938945035508297,336.258969,329.4599517266788,280.39484735865904,385.47074672855433
100000,16,0.15,every,6,6-11,2.375661,2.541685055504381,2.1435919257723035,2.9971709274743734,797.509134,755.7236903425046,645.8662417964524,859.6351451433723
100000,16,0.15,every,6,12-17,1.502389,1.5710898446205006,1.3402267439234063,1.8489249390061258,177.211626,169.60031508658972,144.6752519064073,199.9901365357956
100000,16,0.15,every,6,18-44,0.746809,0.7857195956354004,0.6855678337168637,0.9047470467702237,500.142645,493.28116278884954,419.988664231465,582.3217679244362
100000,16,0.15,every,6,45-64,0.612161,0.6412747582958325,0.5583455720030994,0.7378917292432345,156.522133,157.31184310950823,132.40673815570096,185.9735098177913
100000,16,0.15,every,6,65+,0.497614,0.51919098242953,0.4551649491426665,0.5926737286942325,50.434243,50.93107730580999,43.24877359314644,60.48181744347954
100000,16,0.15,every,7,0-5,1.400506,1.423818380510291,1.2123419129279933,1.6807764677775037,348.722026,343.0687875046656,292.1077654789401,402.35900772385185
100000,16,0.15,every,7,6-11,2.387607,2.4797503391770443,2.1030408492620283,2.9397608177546357,986.178421,965.8599857873987,826.9129137318041,1113.706906676895
100000,16,0.15,every,7,12-17,1.514351,1.552751809699398,1.3244433058331893,1.827205712551051,200.705671,194.20843448508697,165.6603170169376,230.18126455157687
100000,16,0.15,every,7,18-44,0.75298,0.773175965267026,0.6742767987592367,0.886467780834963,554.951997,547.0023478543767,466.74394865187696,644.0779205680174
100000,16,0.15,every,7,45-64,0.617576,0.6318418913019861,0.55077398009833,0.7250117711058012,165.778997,165.0879171570615,139.5449499438164,195.95409288158612
100000,16,0.15,every,7,65+,0.501802,0.5117635752504974,0.4493381574468854,0.5824028427157735,45.661614,45.70066318748172,38.28122077995988,54.91701478335722
100000,16,0.15,every,8,0-5,1.410578,1.4109212486098466,1.1947149804261628,1.661233621665955,367.150294,363.32371963377363,309.2195048668941,427.3787138104952
100000,16,0.15,every,8,6-11,2.399174,2.4338410708927567,2.044330896812121,2.889038063199372,1214.55463,1213.0053016742845,1041.576514320881,1402.7739005410267
100000,16,0.15,every,8,12-17,1.526277,1.5332456985664058,1.3056366541889286,1.798275170153471,228.921981,225.14929048335694,191.78576673049076,265.1074213844752
100000,16,0.15,every,8,18-44,0.759166,0.7627278232699264,0.6645091317722811,0.8763759482433633,625.557947,623.4853957685809,531.1487875754437,729.2587905345249
100000,16,0.15,every,8,45-64,0.62304,0.6242115177438067,0.5442706657774266,0.7161331329087057,180.240433,179.74942409129085,152.1696556765247,212.7478545152601
100000,16,0.15,every,8,65+,0.506044,0.5056854689624117,0.44384629539491494,0.5760863406775344,43.799297,43.817019458788764,36.36828972184071,52.923528705215176
100000,16,0.15,every,9,0-5,1.420567,1.397125392448209,1.1893116570731628,1.6488180227530613,392.719535,391.1295149600619,335.4073940518524,457.6014842884083
100000,16,0.15,every,9,6-11,2.410305,2.3988155856065383,2.0086159329178375,2.848619823969496,1491.567128,1505.8676001505764,1283.0218915617306,1745.5800285909645
100000,16,0.15,every,9,12-17,1.538152,1.5176157927589071,1.2975683533215745,1.7884079457277884,263.089568,262.383730590117,224.434939989364,307.2842585119349
100000,16,0.15,every,9,18-44,0.765359,0.7549188328740126,0.6576775912872344,0.8687228009037976,715.545323,723.0035479459066,613.1749227162641,848.4039152525638
100000,16,0.15,every,9,45-64,0.628547,0.6185224799664265,0.5393059212003889,0.7094471320217586,200.604819,201.77026264534015,171.25758675388374,239.02822975192112
100000,16,0.15,every,9,65+,0.510336,0.5017385088080234,0.4408589423128094,0.570635039102169,44.451362,44.679188319399145,37.01138207959457,54.02781166047612
100000,16,0.15,every,10,0-5,1.430456,1.401244637967841,1.1991383251201289,1.6456304634068102,426.889988,427.4946732636017,367.4426967065301,502.8122803686542
100000,16,0.15,every,10,6-11,2.420932,2.3908647144878525,2.0128547822593785,2.8571942386242415,1828.130648,1851.8135587998468,1588.6469937802585,2157.0913659890566
100000,16,0.15,every,10,12-17,1.549963,1.5154247791296585,1.2951071882778602,1.7904957783723872,304.714202,306.6161145053911,262.0080187297933,358.73623931265934
100000,16,0.15,every,10,18-44,0.771548,0.7551538875859019,0.6592386938715675,0.8698067793433126,829.317096,844.2673063509483,715.4847347908099,992.0089108984066
100000,16,0.15,every,10,45-64,0.634091,0.6188192363755038,0.5403646077856515,0.7098906798990117,227.82135,231.4650916662349,196.0146189667214,271.68390114317253
100000,16,0.15,every,10,65+,0.514671,0.5025679954676475,0.44170438989498595,0.5713631050667652,47.385134,48.048833721002495,39.91198782766628,57.760594128073876
100000,16,0.15,every,11,0-5,1.440226,1.408657406811248,1.197840540447679,1.6546228129711544,471.477637,473.46775497271256,408.4008484893029,558.903228255439
100000,16,0.15,every,11,6-11,2.430973,2.3934722191638915,2.009658533131406,2.8454471740714147,2237.552162,2264.983584400761,1934.6953475493656,2648.6568721765925
100000,16,0.15,every,11,12-17,1.56169,1.525138569097507,1.2956650740889604,1.7983492133851242,355.644121,358.7187568558895,306.8400134350113,420.2139928757447
100000,16,0.15,every,11,18-44,0.777724,0.7593930563283278,0.6618408338136631,0.8739709240676532,972.312685,992.7167213465227,847.738636088221,1168.9249295030168
100000,16,0.15,every,11,45-64,0.639665,0.6231716042338271,0.5438929439951398,0.7160493626639529,263.151482,267.495123410167,228.58625735823352,315.7812704292962
100000,16,0.15,every,11,65+,0.519046,0.5057622996552977,0.4447025285760865,0.5753861869201231,52.533007,53.58741502718635,44.45715897772959,64.35211340180956
100000,16,0.15,every,12,0-5,1.449854,1.4198445975477896,1.211570169991188,1.6733801433406454,528.737681,532.0946204166671,460.37548087982805,627.770473471156
100000,16,0.15,every,12,6-11,2.44033,2.3931364217996993,2.020749285334247,2.862968726222985,2736.019,2765.641023016855,2371.82986266618,3217.952252586065
100000,16,0.15,every,12,12-17,1.573314,1.5375403539744856,1.3129300850504926,1.8054461967469781,418.153866,422.0620899542196,359.9940821985674,495.3205800779474
100000,16,0.15,every,12,18-44,0.783872,0.7653379666841207,0.6692317285147935,0.8829307469304897,1151.272675,1173.5105582376782,998.3882336369752,1379.2966010982836
100000,16,0.15,every,12,45-64,0.645262,0.629015499095795,0.5490772263109345,0.7237980493625029,308.236594,313.20366847204787,267.4158825395332,368.4299885680366
100000,16,0.15,every,12,65+,0.523452,0.5107576030297483,0.44936497461419606,0.5814124339979168,59.98351,61.240082996726926,50.69618674471121,73.27486805021158
100000,16,0.15,every,13,0-5,1.459311,1.437277103925354,1.2221776652445404,1.6911620411903878,601.464871,604.9868157235378,522.9807777811711,713.3559532946629
100000,16,0.15,every,13,6-11,2.448882,2.4166100407067748,2.0418547131787803,2.8758239589089554,3343.167296,3373.3358647776404,2895.2180428092543,3925.0653423247477
100000,16,0.15,every,13,12-17,1.584811,1.5594553695340487,1.3312299824835194,1.8205713355144342,495.047755,500.2641498792191,426.36599067597035,582.5098504541215
100000,16,0.15,every,13,18-44,0.789978,0.7752380896123662,0.6768328265838041,0.8946445249422517,1374.557951,1395.6439920912853,1191.3060507901755,1629.982854277201
100000,16,0.15,every,13,45-64,0.650872,0.6384741551866788,0.5571757648485599,0.7348512912383746,365.179311,370.7871997357056,314.55637267507245,435.0169786149845
100000,16,0.15,every,13,65+,0.527885,0.5182436612006711,0.4560762041440366,0.5907273981298297,69.974553,71.11237835084239,59.35050961531772,85.27316704664224
100000,16,0.15,every,14,0-5,1.468566,1.4481142216368958,1.2345482369003544,1.705174396171154,693.114377,697.6027989139084,599.3856174518469,819.8464587284907
100000,16,0.15,every,14,6-11,2.456486,2.427912314309158,2.043581042532977,2.9044576547256953,4082.728327,4110.509713440322,3547.0093772801847,4792.620850433719
100000,16,0.15,every,14,12-17,1.596151,1.5752553395342166,1.3449138580629247,1.8523743755364535,589.785973,594.4137345119884,508.19677061551556,691.9815834595033
100000,16,0.15,every,14,18-44,0.796023,0.7851118673381274,0.6829983093596361,0.9021882862675548,1652.533292,1662.9133764467933,1433.7755956679175,1958.6841225078642
100000,16,0.15,every,14,45-64,0.656485,0.6471941950816834,0.563584816617884,0.7425832722700396,436.643561,440.1238451619888,375.40010034131546,517.7414236978989
100000,16,0.15,every,14,65+,0.532333,0.5250504055848166,0.4617696327574178,0.5965251038917784,82.893616,83.75832086813398,70.41059428053882,100.5905674402959
