Np,L,day,age_group,uniq
100000,16,1,0-5,3221
100000,16,1,6-11,28
100000,16,1,12-17,723
100000,16,1,18-44,5024
100000,16,1,45-64,3809
100000,16,1,65+,2893
100000,16,2,0-5,3530
100000,16,2,6-11,33
100000,16,2,12-17,904
100000,16,2,18-44,5191
100000,16,2,45-64,4306
100000,16,2,65+,3347
100000,16,3,0-5,4155
100000,16,3,6-11,132
100000,16,3,12-17,1590
100000,16,3,18-44,5517
100000,16,3,45-64,5269
100000,16,3,65+,4185
100000,16,4,0-5,5048
100000,16,4,6-11,2776
100000,16,4,12-17,4215
100000,16,4,18-44,5858
100000,16,4,45-64,5932
100000,16,4,65+,5146
100000,16,5,0-5,5420
100000,16,5,6-11,4602
100000,16,5,12-17,5133
100000,16,5,18-44,5947
100000,16,5,45-64,6159
100000,16,5,65+,5757
100000,16,6,0-5,5559
100000,16,6,6-11,4786
100000,16,6,12-17,5330
100000,16,6,18-44,5978
100000,16,6,45-64,6226
100000,16,6,65+,6161
100000,16,7,0-5,5642
100000,16,7,6-11,4838
100000,16,7,12-17,5416
100000,16,7,18-44,5994
100000,16,7,45-64,6242
100000,16,7,65+,6330
100000,16,8,0-5,5683
100000,16,8,6-11,4863
100000,16,8,12-17,5485
100000,16,8,18-44,6022
100000,16,8,45-64,6224
100000,16,8,65+,6396
100000,16,9,0-5,5709
100000,16,9,6-11,4846
100000,16,9,12-17,5510
100000,16,9,18-44,6008
100000,16,9,45-64,6236
100000,16,9,65+,6382
100000,16,10,0-5,5673
100000,16,10,6-11,4844
100000,16,10,12-17,5512
100000,16,10,18-44,6081
100000,16,10,45-64,6207
100000,16,10,65+,6367
100000,16,11,0-5,5665
100000,16,11,6-11,4864
100000,16,11,12-17,5511
100000,16,11,18-44,6084
100000,16,11,45-64,6244
100000,16,11,65+,6337
100000,16,12,0-5,5709
100000,16,12,6-11,4875
100000,16,12,12-17,5499
100000,16,12,18-44,6023
100000,16,12,45-64,6257
100000,16,12,65+,6340
100000,16,13,0-5,5715
100000,16,13,6-11,4917
100000,16,13,12-17,5486
100000,16,13,18-44,6006
100000,16,13,45-64,6263
100000,16,13,65+,6373
100000,16,14,0-5,5675
100000,16,14,6-11,4956
100000,16,14,12-17,5462
100000,16,14,18-44,6047
100000,16,14,45-64,6252
100000,16,14,65+,6375
100000,16,15,0-5,5675
100000,16,15,6-11,5005
100000,16,15,12-17,5457
100000,16,15,18-44,6007
100000,16,15,45-64,6244
100000,16,15,65+,6372
100000,16,16,0-5,5686
100000,16,16,6-11,5017
100000,16,16,12-17,5472
100000,16,16,18-44,6033
100000,16,16,45-64,6253
100000,16,16,65+,6407
100000,16,17,0-5,5665
100000,16,17,6-11,5044
100000,16,17,12-17,5473
100000,16,17,18-44,6026
100000,16,17,45-64,6265
100000,16,17,65+,6390
100000,16,18,0-5,5658
100000,16,18,6-11,5087
100000,16,18,12-17,5473
100000,16,18,18-44,6017
100000,16,18,45-64,6259
100000,16,18,65+,6399
100000,16,19,0-5,5682
100000,16,19,6-11,5125
100000,16,19,12-17,5466
100000,16,19,18-44,6039
100000,16,19,45-64,6260
100000,16,19,65+,6399
100000,16,20,0-5,5707
100000,16,20,6-11,5194
100000,16,20,12-17,5482
100000,16,20,18-44,6000
100000,16,20,45-64,6224
100000,16,20,65+,6351
100000,16,21,0-5,5694
100000,16,21,6-11,5218
100000,16,21,12-17,5481
100000,16,21,18-44,6029
100000,16,21,45-64,6263
100000,16,21,65+,6356
100000,16,22,0-5,5659
100000,16,22,6-11,5287
100000,16,22,12-17,5504
100000,16,22,18-44,6010
100000,16,22,45-64,6233
100000,16,22,65+,6356
100000,16,23,0-5,5671
100000,16,23,6-11,5358
100000,16,23,12-17,5503
100000,16,23,18-44,6033
100000,16,23,45-64,6259
100000,16,23,65+,6354
100000,16,24,0-5,5722
100000,16,24,6-11,5415
100000,16,24,12-17,5541
100000,16,24,18-44,6058
100000,16,24,45-64,6236
100000,16,24,65+,6328
100000,16,25,0-5,5749
100000,16,25,6-11,5481
100000,16,25,12-17,5554
100000,16,25,18-44,6037
100000,16,25,45-64,6278
100000,16,25,65+,6275
100000,16,26,0-5,5777
100000,16,26,6-11,5550
100000,16,26,12-17,5532
100000,16,26,18-44,6025
100000,16,26,45-64,6271
100000,16,26,65+,6275
100000,16,27,0-5,5759
100000,16,27,6-11,5601
100000,16,27,12-17,5536
100000,16,27,18-44,6007
100000,16,27,45-64,6301
100000,16,27,65+,6293
