weight,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi,obs
Poisson,1,0-5,1.339049,0.8843157398542221,0.8269989223350298,1.0235767612404525,330.93133,340.4587819310993,336.6920771745026,340.4587819310993,293
Poisson,1,6-11,2.311691,1.2233116349999695,1.1924736698621472,1.3005287345963317,263.808763,277.6270179632274,277.6270179632274,277.6270179632274,337
Poisson,1,12-17,1.442413,1.178602371397453,1.1374725227596223,1.248441079008969,106.22455,104.60551784742044,104.60551784742044,104.60551784742044,97
Poisson,1,18-44,0.716412,0.5230097278879967,0.4851474977875667,0.5895895201249474,378.044663,377.77560060484,361.93616565798874,377.77560060484,443
Poisson,1,45-64,0.585959,0.5077506772431721,0.45918013435233634,0.5728415854599413,166.399298,174.77610049314612,163.418524490902,183.0735667408231,183
Poisson,1,65+,0.477594,0.417125732635003,0.3627396970388848,0.47423294593650756,120.274235,122.98988047380739,112.75063321873972,131.01316710295737,156
Poisson,2,0-5,1.349362,1.050978211731321,1.0223825816583532,1.1236374390899837,328.081813,312.14207786959213,312.14207786959213,318.95462211333614,377
Poisson,2,6-11,2.32493,1.5115180352987125,1.4820192197870357,1.5244590209208582,319.737799,275.7620642777884,275.7620642777884,275.7620642777884,209
Poisson,2,12-17,1.454397,1.4356681562914122,1.4174027098811628,1.4447694216035043,114.303266,108.47331088001384,108.47331088001384,108.47331088001384,85
Poisson,2,18-44,0.722411,0.6128559577855627,0.5874108750555754,0.6252030263828363,387.435862,360.94090720148535,357.96968786053986,362.491710039766,348
Poisson,2,45-64,0.591069,0.5519524079441551,0.5328354554043851,0.5665094118251696,160.825,177.95101679304474,167.62024836072675,177.95101679304474,173
Poisson,2,65+,0.481464,0.4436408054308564,0.40973968438100233,0.4785174004114287,105.073442,104.295963767846,95.98661822049081,111.27198544224106,104
Poisson,3,0-5,1.35966,1.371260637177393,1.215597877893055,1.3766393596433284,325.648649,290.1127649566455,290.1127649566455,302.4695778105694,265
Poisson,3,6-11,2.337983,1.7384570319809525,1.7188683726773597,1.7468836971775845,404.900079,286.1212667474706,286.1212667474706,286.1212667474706,402
Poisson,3,12-17,1.466397,1.8353591197159098,1.8299376051435696,1.8414554837952248,126.230268,123.06182088952616,123.06182088952616,123.06182088952616,127
Poisson,3,18-44,0.728456,0.7131602699688303,0.6944988367961168,0.7212283536677333,403.551557,352.541604989455,352.541604989455,352.541604989455,282
Poisson,3,45-64,0.596248,0.631002343983786,0.6205438289425543,0.6434981311950871,154.978536,176.58495926827885,176.58495926827885,176.58495926827885,177
Poisson,3,65+,0.485405,0.494728037095169,0.4668776467092164,0.5393173344755475,86.724254,85.02358720500831,79.36183033591163,91.42883685985657,57
