r_gen,weight,nb_r,mape_Rj,cov_Rj,width_Rj,roughness
15,Poisson,0,54.740166651656146,7.638888888888889,0.02979185950580246,0.32383479351471633
15,NB10,10,4.329769190178851,100.0,0.35463589810119545,0.01411247150630731
15,NB20,20,4.9309146707338956,99.88425925925925,0.32146775988104404,0.018325099371971187
15,NB30,30,5.331772194858197,98.0324074074074,0.30369040105833794,0.022021522662639487
15,NB40,40,5.807857380679163,95.37037037037038,0.29365307758057574,0.025652049907746683
25,Poisson,0,52.582773878422806,8.21759259259259,0.03202351242567983,0.31000424773000906
25,NB10,10,3.3241202843908026,100.0,0.3522404703255589,0.011624630640949438
25,NB20,20,3.996246289050495,100.0,0.31919388740379556,0.015625197756273208
25,NB30,30,4.493492202513746,99.88425925925925,0.302288098327619,0.01843389299695424
25,NB40,40,4.85842911380404,99.07407407407408,0.29048237252108544,0.020977234730698985
50,Poisson,0,40.67111361015011,13.773148148148147,0.050171296292526375,0.25630195775779163
50,NB10,10,3.687129139520383,100.0,0.35468026898016597,0.010042823523614082
50,NB20,20,3.8475617973228604,100.0,0.32070749232054757,0.013006357856040327
50,NB30,30,4.172317993864366,99.65277777777777,0.30470838072755263,0.01501552125403341
50,NB40,40,4.400955108691153,99.30555555555556,0.29328264279094457,0.017151114340859298
